Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
KIN 111 (Section 81),42349,Fully Online,Sport a Movement in a Global Context,GE: V,3.0,LEC,T,,,,,,,2023,Fall
TBA,T,,,,,,,,,,,,,2023,Fall
TBA,Daniel Murphy / Daniel Murphy,ONLINE,,,,,,,,,,,,2023,Fall
KIN 11A (Section 02),50384,In Person,Beginning Rowing,PE: PhysEd,1.0,ACT,TR,10:30AM-12:00PM,Brittany Manrubia,OFFCAMPUS,08/21/23-12/06/23,13,,2023,Fall
"LA - Class meets at off-campus location, students must arrange own transportation.",,,,,,,,,,,,,,2023,Fall
KIN 13A (Section 01),44087,In Person,Beginning Rugby,PE: PhysEd,1.0,ACT,M,09:30AM-11:20AM,James Fonda,YUH106,08/21/23-12/06/23,2,"LA - Class meets at off-campus location, students must arrange own transportation.",2023,Fall
KIN 145A (Section 01),50297,In Person,Physical Activity for Older Adults,,3.0,SEM,TR,12:00PM-12:50PM,Linda Wilkin,SPXC153,08/21/23-12/06/23,5,,2023,Fall
KIN 145A (Section 02),50298,In Person,Physical Activity for Older Adults,,0,LAB,TBA,TBA,Linda Wilkin,,08/21/23-12/06/23,5,,2023,Fall
KIN 147 (Section 01),41603,In Person,Biomechanical Assessment of Movement,,3.0,LEC,T,08:00AM-08:50AM,Sherveen Riazati,YUH124,08/21/23-12/06/23,4,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 147 (Section 02),41604,In Person,Biomechanical Assessment of Movement,,0,LAB,TR,09:00AM-10:50AM,Sherveen Riazati,SPXC234,08/21/23-12/06/23,0,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 147 (Section 03),46787,In Person,Biomechanical Assessment of Movement,,0,LAB,TR,11:00AM-12:50PM,Sherveen Riazati,SPXC234,08/21/23-12/06/23,1,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 147 (Section 04),46788,In Person,Biomechanical Assessment of Movement,,0,LAB,TR,01:00PM-02:50PM,Sherveen Riazati,SPXC234,08/21/23-12/06/23,3,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 147 (Section 07),50295,In Person,Biomechanical Assessment of Movement,,3.0,LAB,TR,04:00PM-05:50PM,Sherveen Riazati,SPXC234,08/21/23-12/06/23,2,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 147 (Section 08),50296,In Person,Biomechanical Assessment of Movement,,3.0,LAB,TR,06:00PM-07:50PM,Sherveen Riazati,SPXC234,08/21/23-12/06/23,8,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 147 (Section 09),50486,In Person,Biomechanical Assessment of Movement,,3.0,LEC,T,08:00AM-08:50AM,Sherveen Riazati,YUH124,08/21/23-12/06/23,2,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 147 (Section 10),50487,In Person,Biomechanical Assessment of Movement,,3.0,LEC,T,08:00AM-08:50AM,Sherveen Riazati,YUH124,08/21/23-12/06/23,7,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 149 (Section 01),49660,Hybrid,Child Health and Physical Activity,,3.0,LEC,TR,,,,,,,2023,Fall
TBA,TR,,,,,,,,,,,,,2023,Fall
TBA,Laura Pirazzi / Laura Pirazzi,SH434,,,,,,,,,,,,2023,Fall
KIN 149 (Section 02),49661,Hybrid,Child Health and Physical Activity,,3.0,LEC,TR,,,,,,,2023,Fall
TBA,TR,,,,,,,,,,,,,2023,Fall
TBA,Laura Pirazzi / Laura Pirazzi,SH313,,,,,,,,,,,,2023,Fall
KIN 14A (Section 01),40229,In Person,Beginning Volleyball,PE: PhysEd,1.0,ACT,MW,12:30PM-01:20PM,Oscar Crespo,SPXC107B,08/21/23-12/06/23,0,,2023,Fall
KIN 14A (Section 02),40610,In Person,Beginning Volleyball,PE: PhysEd,1.0,ACT,MW,01:30PM-02:20PM,Oscar Crespo,SPXC107B,08/21/23-12/06/23,0,,2023,Fall
KIN 14A (Section 03),41407,In Person,Beginning Volleyball,PE: PhysEd,1.0,ACT,TR,10:30AM-11:20AM,Oscar Crespo,SPXC107B,08/21/23-12/06/23,0,,2023,Fall
KIN 14A (Section 04),45537,In Person,Beginning Volleyball,PE: PhysEd,1.0,ACT,MW,03:30PM-04:20PM,Oscar Crespo,SPXC107B,08/21/23-12/06/23,0,,2023,Fall
KIN 14B (Section 01),44099,In Person,Intermediate Volleyball,PE: PhysEd,1.0,ACT,TR,11:30AM-12:20PM,Oscar Crespo,SPXC107B,08/21/23-12/06/23,0,,2023,Fall
KIN 14C (Section 01),44100,In Person,Advanced Volleyball,PE: PhysEd,1.0,ACT,MW,02:30PM-03:20PM,Oscar Crespo,SPXC107B,08/21/23-12/06/23,5,,2023,Fall
KIN 151 (Section 01),46848,In Person,Sports and Fitness Marketing,,3.0,LEC,MW,09:00AM-10:15AM,Arman Medina,SPXE163,08/21/23-12/06/23,0,,2023,Fall
KIN 152 (Section 01),41420,In Person,Theory of Sport and Fitness Management,,3.0,LEC,MW,10:30AM-11:45AM,Arman Medina,SPXE163,08/21/23-12/06/23,1,,2023,Fall
