Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
EE 120 (Section 06),29452,In Person,Microprocessor Based System Design,,4.0,SEM,MW,01:30PM-02:45PM,Jeonghee Kim,ENG345,01/24/24-05/13/24,1,2024,Spring
EE 120 (Section 07),29453,In Person,Microprocessor Based System Design,,0,LAB,M,10:30AM-01:15PM,Venkata Satya Kanaka Madhav Gadhamsetty,ENG307,01/24/24-05/13/24,0,2024,Spring
EE 120 (Section 08),29454,In Person,Microprocessor Based System Design,,0,LAB,W,10:30AM-01:15PM,Chendhra Sheker Nagula,ENG307,01/24/24-05/13/24,0,2024,Spring
EE 120 (Section 09),29455,In Person,Microprocessor Based System Design,,0,LAB,T,12:00PM-02:45PM,Sreeja Manda,ENG307,01/24/24-05/13/24,0,2024,Spring
EE 120 (Section 10),30242,In Person,Microprocessor Based System Design,,0,LAB,M,03:00PM-05:45PM,Naga Vardhan Maddala,ENG307,01/24/24-05/13/24,4,2024,Spring
EE 122 (Section 01),20121,In Person,Electronic Design I,,4.0,SEM,TR,09:00AM-10:15AM,Sotoudeh Hamedi-Hagh,ENG345,01/24/24-05/13/24,0,2024,Spring
EE 122 (Section 02),28482,In Person,Electronic Design I,,4.0,SEM,TR,07:30AM-08:45AM,Sotoudeh Hamedi-Hagh,ENG340,01/24/24-05/13/24,7,2024,Spring
EE 122 (Section 03),20705,In Person,Electronic Design I,,0,LAB,M,10:30AM-01:15PM,Meghna Shankar,ENG290,01/24/24-05/13/24,0,2024,Spring
EE 122 (Section 04),26641,In Person,Electronic Design I,,0,LAB,W,10:30AM-01:15PM,Zeel Jatinkumar Lia,ENG290,01/24/24-05/13/24,0,2024,Spring
EE 122 (Section 05),27509,In Person,Electronic Design I,,0,LAB,R,12:00PM-02:45PM,Brandon Garcia,ENG290,01/24/24-05/13/24,0,2024,Spring
EE 122 (Section 06),30243,In Person,Electronic Design I,,0,LAB,W,03:00PM-05:45PM,Pavan Kumar Bajjuri,ENG290,01/24/24-05/13/24,0,2024,Spring
EE 124 (Section 01),20122,In Person,Electronic Design II,,4.0,SEM,MW,07:30AM-08:45AM,Rakesh Jeyasingh,ENG345,01/24/24-05/13/24,0,2024,Spring
EE 124 (Section 02),20531,In Person,Electronic Design II,,0,LAB,T,10:30AM-01:15PM,Jacob Akers,ENG258,01/24/24-05/13/24,0,2024,Spring
EE 124 (Section 03),22783,In Person,Electronic Design II,,0,LAB,R,10:30AM-01:15PM,Shiva Kumar Appam,ENG258,01/24/24-05/13/24,0,2024,Spring
EE 124 (Section 04),26720,In Person,Electronic Design II,,0,LAB,M,12:00PM-02:45PM,Tianhao Jia,ENG258,01/24/24-05/13/24,0,2024,Spring
EE 124 (Section 05),30356,In Person,Electronic Design II,,0,LAB,W,12:00PM-02:45PM,Chandra Prakash Saini,ENG258,01/24/24-05/13/24,0,2024,Spring
EE 128 (Section 01),28814,In Person,Physical Electronics,,3.0,SEM,TR,10:30AM-11:45AM,Lili He,ENG403,01/24/24-05/13/24,0,2024,Spring
EE 128 (Section 02),27435,In Person,Physical Electronics,,3.0,SEM,TR,03:00PM-04:15PM,Lili He,ENG340,01/24/24-05/13/24,0,2024,Spring
EE 132 (Section 02),28817,In Person,Theory of Automatic Controls,,3.0,SEM,TR,06:00PM-07:15PM,Murat Okyar,ENG331,01/24/24-05/13/24,0,2024,Spring
EE 140 (Section 01),24212,In Person,Principles of Electromagnetic Fields,,3.0,LEC,TR,04:30PM-05:45PM,Raymond Kwok,ENG345,01/24/24-05/13/24,0,2024,Spring
EE 198A (Section 01),20977,In Person,Senior Design Project I,GE: S,1.0,LAB,F,10:00AM-12:45PM,Thuy Le / Robert Morelos-Zaragoza,ENG238,01/24/24-05/13/24,0,2024,Spring
EE 198A (Section 02),20978,In Person,Senior Design Project I,GE: S,1.0,LAB,F,10:00AM-12:45PM,Thuy Le,ENG244,01/24/24-05/13/24,0,2024,Spring
