Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
ANI 134 (Section 83),29752,Fully Online,Animation Production - Storyboarding II,,3.0,ACT,MW,06:00PM-08:50PM,Ray Mendoza Landa,ONLINE,01/23/25-05/12/25,5,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
ANI 142 (Section 01),23757,In Person,Digital Modeling II,,3.0,ACT,TR,12:00PM-02:50PM,Dave Gustlin,ART222,01/23/25-05/12/25,2,,2025,Fall
ANI 142 (Section 02),28291,In Person,Digital Modeling II,,3.0,ACT,TR,06:00PM-08:50PM,Tom Austin,ART222,01/23/25-05/12/25,0,,2025,Fall
ANI 15 (Section 01),20602,In Person,Visual Storytelling,,3.0,ACT,TR,08:00AM-10:50AM,Angela Wu,ART243,01/23/25-05/12/25,2,RO - Not available to Open University students.,2025,Fall
ANI 15 (Section 02),21190,In Person,Visual Storytelling,,3.0,ACT,TR,12:00PM-02:50PM,Angela Wu,ART243,01/23/25-05/12/25,0,RO - Not available to Open University students.,2025,Fall
ANI 15 (Section 03),25582,In Person,Visual Storytelling,,3.0,ACT,TR,03:00PM-05:50PM,Sydney Sun,ART243,01/23/25-05/12/25,0,,2025,Fall
ANI 15 (Section 04),25583,In Person,Visual Storytelling,,3.0,ACT,TR,06:00PM-08:50PM,Sydney Sun,ART243,01/23/25-05/12/25,1,,2025,Fall
ANI 15 (Section 05),25584,In Person,Visual Storytelling,,3.0,ACT,MW,08:00AM-10:50AM,Leann Hill,ART203,01/23/25-05/12/25,7,,2025,Fall
ANI 15 (Section 06),26478,In Person,Visual Storytelling,,3.0,ACT,MW,12:00PM-02:50PM,Leann Hill,ART203,01/23/25-05/12/25,0,,2025,Fall
ANI 15 (Section 07),26479,In Person,Visual Storytelling,,3.0,ACT,MW,03:00PM-05:50PM,Leann Hill,ART203,01/23/25-05/12/25,2,,2025,Fall
ANI 15 (Section 08),28216,In Person,Visual Storytelling,,3.0,ACT,MW,06:00PM-08:50PM,Katerina Tadenev,ART243,01/23/25-05/12/25,1,,2025,Fall
ANI 161 (Section 01),21089,In Person,Digital Animation I,,3.0,ACT,MW,06:00PM-08:50PM,Edric Yamamoto,ART224,01/23/25-05/12/25,1,RO - Not available to Open University students.,2025,Fall
ANI 161 (Section 02),23061,In Person,Digital Animation I,,3.0,ACT,TR,12:00PM-02:50PM,Brandon Moore,ART224,01/23/25-05/12/25,2,,2025,Fall
ANI 161 (Section 03),23062,In Person,Digital Animation I,,3.0,ACT,TR,03:00PM-05:50PM,Brandon Moore,ART224,01/23/25-05/12/25,4,,2025,Fall
ANI 161 (Section 04),29606,In Person,Digital Animation I,,3.0,ACT,MW,08:00AM-10:50AM,Bryan Lind,ART224,01/23/25-05/12/25,11,,2025,Fall
ANI 175 (Section 01),28295,In Person,Professional Practices in Entertainment Design,,3.0,ACT,MW,12:00PM-02:50PM,Bryan Lind,ART224,01/23/25-05/12/25,0,,2025,Fall
ANI 175 (Section 02),28296,In Person,Professional Practices in Entertainment Design,,3.0,ACT,MW,03:00PM-05:50PM,Bryan Lind,ART224,01/23/25-05/12/25,8,,2025,Fall
ANI 175 (Section 80),28297,Fully Online,Professional Practices in Entertainment Design,,3.0,ACT,MW,06:00PM-08:50PM,Kristy Kay,ONLINE,01/23/25-05/12/25,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
ANI 175 (Section 81),28298,Fully Online,Professional Practices in Entertainment Design,,3.0,ACT,MW,06:00PM-08:50PM,Zack Lee,ONLINE,01/23/25-05/12/25,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
ANI 175 (Section 82),29862,Fully Online,Professional Practices in Entertainment Design,,3.0,ACT,TR,06:00PM-08:50PM,Adrian Gutierrez,ONLINE,01/23/25-05/12/25,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
ANI 179 (Section 01),28541,In Person,Special Topics in Animation/Illustration,,3.0,ACT,MW,08:00AM-10:50AM,David Chai,ART218,01/23/25-05/12/25,7,,2025,Fall
ANI 179 (Section 02),28542,In Person,Special Topics in Animation/Illustration,,3.0,ACT,MW,12:00PM-02:50PM,Kevin Mannens,ART222,01/23/25-05/12/25,0,,2025,Fall
ANI 179 (Section 03),28543,In Person,Special Topics in Animation/Illustration,,3.0,ACT,MW,03:00PM-05:50PM,Kevin Mannens,ART222,01/23/25-05/12/25,10,,2025,Fall
ANI 179 (Section 05),28545,In Person,Special Topics in Animation/Illustration,,3.0,ACT,MW,06:00PM-08:50PM,Eric Mead,DBH228,01/23/25-05/12/25,7,,2025,Fall
ANI 179 (Section 06),29447,In Person,Special Topics in Animation/Illustration,,3.0,ACT,MW,03:00PM-05:50PM,Eric Mead,DBH228,01/23/25-05/12/25,3,,2025,Fall
ANI 180 (Section 80),22518,Fully Online,Individual Studies,,3.0,SUP,TBA,TBA,David Chai,ONLINE,01/23/25-05/12/25,31,,RO - Not available to Open University students.,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2025,Fall
