Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
CMPE 50 (Section 01),20634,In Person,Object-Oriented Concepts and Methodology,,3.0,LEC,TR,01:30PM-02:20PM,Chao-Li Tarng,ENG325,01/24/24-05/13/24,21,2024,Spring
CMPE 50 (Section 02),20635,In Person,Object-Oriented Concepts and Methodology,,3.0,LAB,T,04:30PM-07:20PM,David Archer,ENG489,01/24/24-05/13/24,7,2024,Spring
CMPE 50 (Section 03),20636,In Person,Object-Oriented Concepts and Methodology,,3.0,LAB,R,04:30PM-07:20PM,David Archer,ENG489,01/24/24-05/13/24,14,2024,Spring
CMPE 50 (Section 04),27062,In Person,Object-Oriented Concepts and Methodology,,3.0,LEC,MW,01:30PM-02:20PM,Chao-Li Tarng,ENG327,01/24/24-05/13/24,4,2024,Spring
CMPE 50 (Section 05),27063,In Person,Object-Oriented Concepts and Methodology,,3.0,LAB,W,02:30PM-05:20PM,David Archer,ENG489,01/24/24-05/13/24,0,2024,Spring
CMPE 102 (Section 01),22728,In Person,Assembly Language Programming,,3.0,SEM,MW,01:30PM-02:45PM,Charan Bhaskar,ENG337,01/24/24-05/13/24,1,2024,Spring
CMPE 102 (Section 02),24092,In Person,Assembly Language Programming,,3.0,SEM,MW,10:30AM-11:45AM,Faramarz Mortezaie,ENG325,01/24/24-05/13/24,0,2024,Spring
CMPE 102 (Section 03),26542,In Person,Assembly Language Programming,,3.0,SEM,TR,10:30AM-11:45AM,Loc Lam,ENG325,01/24/24-05/13/24,0,2024,Spring
CMPE 110 (Section 01),21956,In Person,Electronics for Computing Systems,,3.0,LEC,MW,12:00PM-12:50PM,Jahan Ghofraniha,ENG325,01/24/24-05/13/24,0,2024,Spring
CMPE 110 (Section 02),21957,In Person,Electronics for Computing Systems,,3.0,LAB,T,01:30PM-04:20PM,Lakshmi Ananya Mandava,ENG286,01/24/24-05/13/24,0,2024,Spring
CMPE 110 (Section 03),21958,In Person,Electronics for Computing Systems,,3.0,LAB,T,04:30PM-07:20PM,Lakshmi Ananya Mandava,ENG286,01/24/24-05/13/24,0,2024,Spring
CMPE 110 (Section 04),26737,In Person,Electronics for Computing Systems,,3.0,LEC,MW,09:00AM-09:50AM,Jahan Ghofraniha,ENG325,01/24/24-05/13/24,19,2024,Spring
CMPE 110 (Section 07),29976,In Person,Electronics for Computing Systems,,3.0,LAB,M,10:00AM-12:50PM,Pavan Nageswar Reddy Bodavarapu,ENG286,01/24/24-05/13/24,8,2024,Spring
CMPE 110 (Section 08),29977,In Person,Electronics for Computing Systems,,3.0,LAB,W,10:00AM-12:50PM,Pavan Nageswar Reddy Bodavarapu,ENG286,01/24/24-05/13/24,11,2024,Spring
CMPE 120 (Section 01),22479,In Person,Computer Organization and Architecture,,3.0,SEM,MW,01:30PM-02:45PM,Bhawandeep Singh Harsh,ENG325,01/24/24-05/13/24,1,2024,Spring
CMPE 120 (Section 02),26543,In Person,Computer Organization and Architecture,,3.0,SEM,MW,04:30PM-05:45PM,Bhawandeep Singh Harsh,ENG325,01/24/24-05/13/24,12,2024,Spring
CMPE 124 (Section 01),21959,In Person,Digital Design I,,3.0,SEM,MW,08:00AM-08:50AM,Hossein Omidian,ENG325,01/24/24-05/13/24,10,2024,Spring
CMPE 124 (Section 02),21960,In Person,Digital Design I,,3.0,LAB,W,01:30PM-04:20PM,Vineeth Kaza,ENG286,01/24/24-05/13/24,0,2024,Spring
CMPE 124 (Section 06),29717,In Person,Digital Design I,,3.0,SEM,MW,09:00AM-09:50AM,Hossein Omidian,ENG337,01/24/24-05/13/24,0,2024,Spring
CMPE 124 (Section 07),29718,In Person,Digital Design I,,3.0,LAB,M,01:30PM-04:20PM,Pranitha Harani Koka,ENG278,01/24/24-05/13/24,0,2024,Spring
CMPE 124 (Section 08),29719,In Person,Digital Design I,,3.0,LAB,W,01:30PM-04:20PM,Pranitha Harani Koka,ENG278,01/24/24-05/13/24,0,2024,Spring
CMPE 125 (Section 01),25956,In Person,Digital Design II,,3.0,SEM,MW,10:30AM-11:20AM,Jahan Ghofraniha,ENG337,01/24/24-05/13/24,9,2024,Spring
CMPE 125 (Section 02),25957,In Person,Digital Design II,,3.0,LAB,M,12:00PM-02:50PM,Rohit Sharma,ENG288,01/24/24-05/13/24,12,2024,Spring
CMPE 125 (Section 03),25958,In Person,Digital Design II,,3.0,LAB,M,04:30PM-07:20PM,Rohit Sharma,ENG288,01/24/24-05/13/24,0,2024,Spring
CMPE 125 (Section 04),26609,In Person,Digital Design II,,3.0,SEM,MW,01:30PM-02:20PM,Jahan Ghofraniha,ENG401,01/24/24-05/13/24,0,2024,Spring
