Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
CHAD 168 (Section 02),43633,In Person,Social and Emotional Development,,3.0,LEC,TR,10:30AM-11:45AM,Krissy Connell,SH211,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 168 (Section 80),43631,Fully Online,Social and Emotional Development,,3.0,LEC,TBA,TBA,Amita Shah,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 168 (Section 81),44624,Fully Online,Social and Emotional Development,,3.0,LEC,TBA,TBA,Krissy Connell,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 169 (Section 01),41338,In Person,Motivating Children and Adolescents in Educational Settings,,3.0,LEC,TR,10:30AM-11:45AM,Robin Love,SH239,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 169 (Section 02),41340,In Person,Motivating Children and Adolescents in Educational Settings,,3.0,LEC,TR,12:00PM-01:15PM,Robin Love,SH239,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 169 (Section 03),48991,In Person,Motivating Children and Adolescents in Educational Settings,,3.0,LEC,MW,10:30AM-11:45AM,Nadia Sorkhabi / Ravisha Mathur,SH231,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 169 (Section 04),48992,In Person,Motivating Children and Adolescents in Educational Settings,,3.0,LEC,MW,12:00PM-01:15PM,Nadia Sorkhabi / Ravisha Mathur,SH231,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 170 (Section 01),41797,In Person,Cognitive Development in Context,,3.0,LEC,TR,10:30AM-11:45AM,John Jabagchourian,SH212,08/21/23-12/06/23,8,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 170 (Section 02),41798,In Person,Cognitive Development in Context,,3.0,LEC,TR,12:00PM-01:15PM,John Jabagchourian,SH212,08/21/23-12/06/23,1,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 170 (Section 03),46205,In Person,Cognitive Development in Context,,3.0,LEC,MW,10:30AM-11:45AM,Teresa O'Donnell-Johnson,SH315,08/21/23-12/06/23,3,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 170 (Section 80),43649,Fully Online,Cognitive Development in Context,,3.0,LEC,TBA,TBA,Meghna Soni,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 173 (Section 01),41805,Fully Online,Critical Issues in Infant/Toddler Development,,3.0,LEC,TBA,TBA,Jessica Fraser,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 173 (Section 80),41799,Fully Online,Critical Issues in Infant/Toddler Development,,3.0,LEC,TBA,TBA,Jessica Fraser,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 173 (Section 81),43655,Fully Online,Critical Issues in Infant/Toddler Development,,3.0,LEC,TBA,TBA,Jessica Fraser,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 180 (Section 80),40684,Fully Online,Individual Studies,,1.0,SUP,TBA,TBA,Ravisha Mathur,ONLINE,08/21/23-12/06/23,1,,2023,Fall
CHAD 180 (Section 81),44135,Fully Online,Individual Studies,,3.0,SUP,TBA,TBA,Ravisha Mathur,ONLINE,08/21/23-12/06/23,3,,2023,Fall
CHAD 195 (Section 01),43650,In Person,Senior Seminar in Child a Adolescent Development,,3.0,SEM,TR,10:30AM-11:45AM,Robert Marx [They/He],SH231,08/21/23-12/06/23,1,,2023,Fall
CHAD 195 (Section 03),41800,In Person,Senior Seminar in Child a Adolescent Development,,3.0,SEM,MW,10:30AM-11:45AM,Maria Fusaro,SH311,08/21/23-12/06/23,3,,2023,Fall
CHAD 195 (Section 80),50575,Fully Online,Senior Seminar in Child a Adolescent Development,,3.0,SEM,TBA,TBA,Maureen Smith She/Her,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 199 (Section 80),40685,Fully Online,Honors in Child a Adolescent Development,,1.0,SUP,TBA,TBA,Ravisha Mathur,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 260A (Section 01),43420,In Person,Seminar in Child and Adolescent Development: Research,GWAR,3.0,SEM,M,04:00PM-06:45PM,Danielle Mead-Nytko,SH231,08/21/23-12/06/23,5,,2023,Fall
CHAD 268 (Section 02),49920,In Person,Seminar in Social and Emotional Development,,3.0,SEM,R,04:00PM-06:45PM,Kim Tsai,SH231,08/21/23-12/06/23,4,,2023,Fall
CHAD 60 (Section 01),42341,In Person,Child Development,GE: E,3.0,LEC,TR,10:30AM-11:45AM,Kim Tsai,SH100,08/21/23-12/06/23,0,,2023,Fall
CHAD 60 (Section 80),48988,Fully Online,Child Development,GE: E,3.0,LEC,TBA,TBA,Jennifer Pearlman,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 60 (Section 81),48989,Fully Online,Child Development,GE: E,3.0,LEC,TBA,TBA,Jennifer Pearlman,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 60 (Section 82),48990,Fully Online,Child Development,GE: E,3.0,LEC,TBA,TBA,Tara Duffy,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 70 (Section 01),44206,In Person,Lifespan Development in a Global Context,GE: E,3.0,LEC,MW,10:30AM-11:45AM,Dina Izenstark,SH100,08/21/23-12/06/23,0,,2023,Fall
CHAD 70 (Section 80),48678,Fully Online,Lifespan Development in a Global Context,GE: E,3.0,LEC,TBA,TBA,Laura Pirazzi,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 70 (Section 81),48679,Fully Online,Lifespan Development in a Global Context,GE: E,3.0,LEC,TBA,TBA,Tara Duffy,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 70 (Section 83),50817,Fully Online,Lifespan Development in a Global Context,GE: E,3.0,LEC,TBA,TBA,Tara Duffy,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 70 (Section 84),50824,Fully Online,Lifespan Development in a Global Context,GE: E,3.0,LEC,TBA,TBA,Meghna Soni,ONLINE,08/21/23-12/06/23,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 75 (Section 80),43425,Fully Online,"Imagination, Play and Adult Creativity",GE: D,3.0,LEC,TBA,TBA,Jila Maleksalehi,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 76 (Section 01),48986,In Person,Child Development Among Media and Emerging Technologies,GE: D,3.0,LEC,TR,01:30PM-02:45PM,John Jabagchourian,SH212,08/21/23-12/06/23,0,,2023,Fall
