Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
CS 151 (Section 81),49093,Fully Online,Object-Oriented Design,,3.0,SEM,TR,04:30PM-05:45PM,Ahmad Yazdankhah,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
CS 151 (Section 82),49094,Fully Online,Object-Oriented Design,,3.0,SEM,TR,06:00PM-07:15PM,Ahmad Yazdankhah,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
CS 152 (Section 01),48790,In Person,Programming Paradigms,,3.0,LEC,MW,10:30AM-11:45AM,Thomas Austin,MH222,08/21/24-12/09/24,2,2024,Fall
CS 152 (Section 02),48791,In Person,Programming Paradigms,,3.0,LEC,MW,06:00PM-07:15PM,Saptarshi Sengupta,SCI311,08/21/24-12/09/24,0,2024,Fall
CS 152 (Section 03),49089,In Person,Programming Paradigms,,3.0,LEC,TR,03:00PM-04:15PM,Rula Khayrallah,DH450,08/21/24-12/09/24,0,2024,Fall
CS 152 (Section 05),50200,In Person,Programming Paradigms,,3.0,LEC,TR,10:30AM-11:45AM,Rula Khayrallah,DH450,08/21/24-12/09/24,0,2024,Fall
CS 154 (Section 01),48796,In Person,Formal Languages and Computability,,3.0,SEM,MW,04:30PM-05:45PM,Ahmad Yazdankhah,WSQ207,08/21/24-12/09/24,2,2024,Fall
CS 157A (Section 01),42280,In Person,Introduction to Database Management Systems,,3.0,SEM,TR,04:30PM-05:45PM,Ramin Moazeni,SCI164,08/21/24-12/09/24,1,2024,Fall
CS 157A (Section 02),42281,In Person,Introduction to Database Management Systems,,3.0,SEM,TR,04:30PM-05:45PM,Ching-Seh Wu,SH435,08/21/24-12/09/24,2,2024,Fall
CS 157A (Section 04),49364,In Person,Introduction to Database Management Systems,,3.0,SEM,MW,04:30PM-05:45PM,Tahereh Arabghalizi,MH222,08/21/24-12/09/24,0,2024,Fall
