Skip to main content
SAN JOSÉ STATE UNIVERSITY
MENU
SEARCH
Home
Class Schedule
Schedules
Archive
Fall 2023

Class Schedules

Academic Affairs
Schedules
Calendars
Culminating Activities & Finals
Register
Symbols & Abbreviations
Tuition & Fees
Fall 2023 Class Schedule

There are three different types of modes of instruction: Fully Online, Hybrid, and In-Person (definitions linked). Some instruction modes and classes times may change before registration opens.  

The first day of advanced registration for continuing students is Tuesday, April 25, 2023. 

Online Learning Readiness
Subject Notes
Using the Search
Class Schedule Listing

If the below table is not loading, please visit the MySJSU Class Schedule Search.

 

Show 
10
25
50
100
 entries
Search:
Section	Class Number	Mode of Instruction	Course Title	Satisfies	Units	Type	Days	Times	Instructor	Location	Dates	Open Seats	Notes
COMM 100W (Section 81)	49045	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Jean-Pierre Lacrampe	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 82)	49046	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Kathleen Mcconnell	ONLINE	08/21/23-12/06/23	1	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 83)	49053	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Jody Ulate	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 84)	49035	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Philip Bair	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 85)	49042	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Patricia Daley- Harms	ONLINE	08/21/23-12/06/23	1	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 86)	49047	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Beth Mcmurray	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 87)	49036	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Philip Bair	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 88)	49052	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Jean-Pierre Lacrampe	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 89)	49039	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Kaitlin Cannava	ONLINE	08/21/23-12/06/23	2	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 90)	49043	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Patricia Daley- Harms	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 100W (Section 91)	49054	Fully Online	Writing Workshop: Writing for Influence	WID	3.0	SEM	TBA	TBA	Jody Ulate	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 101C (Section 01)	49059	Hybrid	Junior Seminar: Theorizing Communication		4.0	LEC	M	01:30PM-02:45PM	Ren (Karen) Williams	HGH223	08/21/23-12/06/23	0	HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.
COMM 101C (Section 80)	49057	Fully Online	Junior Seminar: Theorizing Communication		4.0	LEC	TBA	TBA	Mary Anne Sunseri	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 101C (Section 81)	49055	Fully Online	Junior Seminar: Theorizing Communication		4.0	LEC	TBA	TBA	Jennifer Morrison	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 101C (Section 82)	49058	Fully Online	Junior Seminar: Theorizing Communication		4.0	LEC	TBA	TBA	Mary Anne Sunseri	ONLINE	08/21/23-12/06/23	1	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 101C (Section 83)	49056	Fully Online	Junior Seminar: Theorizing Communication		4.0	LEC	TBA	TBA	Jennifer Morrison	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 110F (Section 80)	49060	Fully Online	Interpersonal Communication		4.0	SEM	M	10:30AM-11:45AM	Ching Ching Tan	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - 2 meeting patterns: (1) designated online with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 111P (Section 80)	49062	Fully Online	Interviewing		4.0	LEC	TBA	TBA	Gina Firenzi	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 112P (Section 80)	49063	Fully Online	Communicating at Work		4.0	LEC	TBA	TBA	Gina Firenzi	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 115P (Section 80)	49064	Fully Online	Communication and Conflict		4.0	LEC	TBA	TBA	Carol-Lynn Perez	ONLINE	08/21/23-12/06/23	1	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 117F (Section 80)	49067	Fully Online	Understanding Play a Games		4.0	LEC	TBA	TBA	Stephanie Coopman	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 119I (Section 80)	49068	Fully Online	Researching Games		4.0	LEC	TBA	TBA	Stephanie Coopman	ONLINE	08/21/23-12/06/23	0	FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
COMM 121P (Section 01)	49072	In Person	Performance as Practice		4.0	LEC	MW	12:00PM-01:15PM	Lucas Hatton / Lucas Hatton	HGH231	08/21/23-12/06/23	2	 
COMM 123I (Section 01)	49073	In Person	Performance of Ethnodrama		4.0	SEM	TR	10:30AM-11:45AM	Oona Hatton / Oona Hatton	HGH231	08/21/23-12/06/23	0	 
COMM 124P (Section 01)	49076	Hybrid	Communication Training and Development		4.0	LEC	M	09:00AM-10:15AM	Ren (Karen) Williams	HGH223	08/21/23-12/06/23	0	HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.
