Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
PHYS 51 (Section 16),25099,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Daniel Olson,DH643,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 17),27901,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Peter Beyersdorf / Kenneth Wharton,DH643,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 18),20969,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Ehsan Khatami,DH643,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 19),20970,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Eugene Ionel,DH643,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 20),27902,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Vakini Santhanakrishnan,DH641,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 21),27903,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Kenneth Wharton,DH641,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 22),21858,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Eugene Ionel,DH641,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 23),20971,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Dawit Yerdea,DH641,01/23/25-05/12/25,2,2025,Spring
PHYS 51 (Section 24),25100,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Daniel Olson,DH641,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 25),23093,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Paul Houck,DH641,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 26),27904,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Ignacio Mosqueira,DH641,01/23/25-05/12/25,1,2025,Spring
PHYS 51 (Section 27),27905,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Nargis Adham / Azadeh Shahid Faylienejad,DH641,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 28),30013,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Ignacio Mosqueira,DH643,01/23/25-05/12/25,13,2025,Spring
PHYS 51 (Section 29),30014,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Paul Houck,DH643,01/23/25-05/12/25,0,2025,Spring
